% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.232856585e+02 +2.232856585e+02 +3.027656585e+02 +3.027656585e+02 -7.5862e-02 -1.0552e+00 -3.5812e+00 -3.1416e-01 -3.4802e+00 -1.5633e+00 +3.9781e+00 -4.6813e+00 +3.6144e+00 -5.3761e-01 -1.8068e+00 -4.5343e+00 +4.4501e+00 -2.3657e+00 -7.8980e-01 -1.8141e+00 +3.5703e+00 -4.6320e+00 -1.0552e-01 +3.7612e+00
2 +1.515557422e+02 +1.515557422e+02 +2.310357422e+02 +2.310357422e+02 -1.2103e+00 +4.0967e-01 +2.0946e+00 -3.6218e+00 +2.4040e+00 -4.5631e+00 -1.7316e-01 -3.7323e+00 +1.4479e-01 -8.5090e-01 -2.8285e+00 +1.3286e-02 +2.3998e+00 -2.4080e+00 -3.7478e-02 +3.0672e+00 -2.4833e+00 -4.3594e+00 +2.3610e+00 +3.0811e+00
201 +8.561710186e+01 +8.561710186e+01 +1.650971019e+02 +1.650971019e+02 -2.3951e+00 -4.5262e+00 +1.5049e+00 +3.2816e+00 -3.2471e+00 -5.1785e-01 +4.0466e+00 -3.7987e-01 -1.8024e+00 -2.8362e+00 -2.9652e-01 +1.5037e+00 +2.8281e+00 -2.2782e+00 +2.7598e+00 +2.9500e-01 +2.3340e+00 -2.4002e+00 +2.7920e+00 -7.9050e-01
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.671161014e+02 +3.671161014e+02 +7.615961014e+02 +7.615961014e+02 +4.4973e+00 -4.7867e+00 -4.0514e+00 -9.0059e-01 -3.4303e+00 -1.9441e+00 +3.8619e+00 +2.4995e+00 -1.2662e+00 +3.1677e+00 -3.6685e+00 -3.9573e+00 -2.6064e+00 +1.8430e-01 -3.0048e-01 -3.9262e+00 +2.5105e+00 -3.2583e+00 -5.1897e-01 -2.0811e+00
7 +2.364256309e+02 +2.364256309e+02 +6.309056309e+02 +6.309056309e+02 +2.4633e+00 -1.1656e+00 +2.0989e+00 -2.5021e+00 +4.8843e+00 +6.5568e-01 +3.2688e+00 -4.5159e+00 +1.7682e+00 +6.3694e-02 -2.9956e+00 -2.1868e-01 +1.2623e-01 +1.6578e+00 -2.1081e+00 +1.8670e+00 +3.1098e-01 -1.4368e+00 +7.4852e-01 -6.5064e-01
26 +1.219256417e+02 +1.219256417e+02 +5.164056417e+02 +5.164056417e+02 -5.9874e-01 -3.0357e-01 -1.8445e+00 +7.9730e-01 +8.9773e-02 -3.2737e+00 +4.2789e+00 -3.2141e+00 -2.5022e+00 -4.2615e+00 -1.4700e+00 -5.0911e-01 +3.6747e+00 -2.5202e-01 -1.4263e+00 +4.2671e+00 -1.2220e+00 -4.4148e+00 +4.9732e+00 +8.8625e-02
2477 +9.523438158e+01 +9.523438158e+01 +4.897143816e+02 +4.897143816e+02 -2.2347e+00 +1.5545e+00 -2.2240e+00 +2.6927e+00 +3.5774e+00 +2.1362e-01 -2.8085e-02 -1.2326e+00 -2.7372e+00 +2.6108e-01 +4.3049e+00 -8.8500e-01 -6.2920e-01 +3.0270e+00 -4.7490e+00 +2.6302e+00 -4.2182e+00 -8.4664e-01 -8.5788e-01 +1.4739e+00
% function evaluation | noise-free fitness - Fopt (-2.471100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.250645587e+02 +2.250645587e+02 -2.204544133e+01 -2.204544133e+01 -3.7276e+00 +4.0796e+00 +1.4639e+00 +3.2291e+00 -3.2869e+00 -2.6403e+00 -1.7916e+00 -2.2565e+00 -3.1052e+00 +3.6662e+00 -1.1600e+00 -7.9620e-01 +4.8040e-01 +8.7622e-01 +2.9829e+00 -1.3612e+00 -4.8263e+00 +2.3241e+00 +2.2000e+00 -9.0004e-01
