% function evaluation | noise-free fitness - Fopt (-1.025500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.193870443e+01 +3.193870443e+01 -7.061129557e+01 -7.061129557e+01 +4.0990e+00 -9.3189e-01 -2.2018e+00 +3.8263e+00 -3.8367e+00 +1.7820e+00 -2.5009e+00 +3.6898e+00 -4.3305e-01 -1.9490e+00 -3.5328e+00 -4.5576e+00 -4.2865e-02 -1.4767e+00 +8.7872e-01 -3.0069e+00 -1.2794e+00 +1.5843e+00 -3.3403e+00 +4.9391e+00
14 +1.749670990e+01 +1.749670990e+01 -8.505329010e+01 -8.505329010e+01 +4.2181e+00 +1.7856e-01 -6.8921e-01 -8.5648e-01 -2.4845e+00 -2.0210e+00 -1.2600e+00 +6.1403e-01 -3.1438e-02 -4.9844e+00 +3.6397e+00 +6.7092e-01 +1.6078e+00 -1.0913e+00 -2.1265e+00 +1.6059e+00 -2.8473e+00 +1.3714e-01 +6.3482e-01 +2.6143e+00
630 +1.570711106e+01 +1.570711106e+01 -8.684288894e+01 -8.684288894e+01 +1.3902e+00 +9.9159e-01 +9.7605e-01 -7.2322e-01 +2.9315e-01 -1.1291e+00 -1.0589e+00 +2.1374e+00 +1.6718e+00 -1.5597e+00 -7.6126e-01 +2.7543e+00 -1.1049e+00 +2.3711e-01 -8.6981e-01 -1.2321e+00 +2.4104e+00 -1.4276e+00 +2.0563e+00 -3.6692e+00
% function evaluation | noise-free fitness - Fopt (7.169000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.083687726e+02 +1.083687726e+02 +1.800587726e+02 +1.800587726e+02 -4.2991e+00 +3.6845e+00 -4.1993e+00 -1.9856e+00 +2.5434e-01 +4.9034e+00 -8.2075e-01 -2.2705e+00 -3.0762e+00 -8.8157e-01 -3.4312e+00 +1.9342e+00 -4.7870e+00 +2.9817e-01 +1.7148e+00 +2.7052e+00 -4.4905e+00 -4.0169e+00 +1.0997e+00 -4.2938e+00
2 +2.823069794e+01 +2.823069794e+01 +9.992069794e+01 +9.992069794e+01 +3.8688e+00 -1.6354e+00 -1.3175e-01 +9.3356e-01 -2.6695e+00 +1.4798e+00 -4.1179e+00 -8.9010e-01 +1.9204e+00 -1.5937e+00 -4.1772e-01 -7.7664e-01 +1.6848e-01 -3.0934e+00 -1.8349e+00 -1.5732e+00 +2.1346e+00 +3.7109e+00 +1.8551e+00 +4.8462e+00
80 +1.828739492e+01 +1.828739492e+01 +8.997739492e+01 +8.997739492e+01 -3.9270e+00 -3.2137e+00 -3.3001e+00 -1.1946e+00 -3.8242e+00 -4.6264e-01 -3.2382e-01 +8.4857e-01 +1.6289e+00 +1.2240e+00 +2.7781e+00 -1.8089e-01 +2.6883e+00 +3.0992e+00 +3.2796e-01 -1.7676e+00 +2.8575e+00 +1.3276e+00 +2.0316e-01 -1.0215e+00
% function evaluation | noise-free fitness - Fopt (2.140100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.284635621e+01 +6.284635621e+01 +2.768563562e+02 +2.768563562e+02 -4.0900e+00 -3.4909e+00 -3.6694e-01 +4.7442e+00 -3.4472e+00 +3.7171e+00 -1.1819e+00 -3.1430e+00 +1.5895e+00 -3.1093e+00 +2.4303e+00 +3.4584e+00 -3.1050e-01 +3.3788e+00 -4.5760e+00 -4.4305e+00 -3.3607e+00 +2.3055e+00 +8.4246e-01 -3.8602e+00
18 +3.365883825e+01 +3.365883825e+01 +2.476688383e+02 +2.476688383e+02 +1.6171e+00 +2.5982e+00 +1.5195e+00 -1.3598e+00 -9.4021e-01 -2.3851e+00 +9.4013e-01 +1.7057e+00 -9.8584e-01 +4.1174e+00 -4.7697e+00 +3.2536e+00 -2.7649e+00 -5.2813e-01 +4.6272e+00 -6.5669e-01 -2.7783e+00 -2.0002e+00 +4.8558e+00 -2.7202e+00
97 +2.159363728e+01 +2.159363728e+01 +2.356036373e+02 +2.356036373e+02 -1.3337e+00 -6.4152e-01 -1.3605e+00 +4.1474e+00 -8.0092e-01 -5.1320e-01 -1.2347e+00 -1.9889e+00 +1.8269e+00 -3.6795e+00 -2.1545e+00 -3.5645e+00 -2.3089e+00 -2.1189e+00 -7.3674e-01 +1.3118e-01 +2.4589e+00 -2.2221e+00 -4.1013e+00 -2.6049e+00
3465 +1.518777500e+01 +1.518777500e+01 +2.291977750e+02 +2.291977750e+02 +1.7852e+00 +1.8840e+00 +8.7925e-01 -3.2276e+00 +4.7604e+00 -7.2402e-01 -1.0064e+00 +6.1015e-01 +2.6609e+00 +1.5349e+00 +7.9670e-01 +1.7217e+00 +3.6281e+00 +8.4378e-01 +2.3388e+00 +1.8341e+00 +4.0908e+00 -2.0663e+00 -2.4238e-01 -2.3302e-01
% function evaluation | noise-free fitness - Fopt (-5.848000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
