% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.631893115e+08 +3.631893115e+08 +3.631886904e+08 +3.631886904e+08 +1.0162e+00 +5.4355e-01 +3.4216e-01 +1.4024e+00 +7.7903e-01 +4.0795e-01 +4.9656e-01 +4.5585e-01 +1.0457e+00 +7.2870e-01 +4.2413e-01 +6.2647e-01 +6.3651e-01 +2.4253e-01 -8.3005e-02 +5.7340e-01 +5.1932e-01 +6.8926e-01 +1.2033e+00 +4.4604e-01
2 +2.016252887e+08 +2.016252887e+08 +2.016246676e+08 +2.016246676e+08 +7.8405e-01 +8.3336e-01 +2.2275e-01 +1.0072e+00 +3.7290e-01 +8.8525e-02 +2.2903e-01 +7.3519e-01 +1.2855e+00 +1.2977e+00 -1.0148e-01 +9.9380e-01 +5.9293e-01 +1.5133e-01 +7.9823e-01 +6.0168e-01 +1.9086e-01 +1.0271e+00 +7.2453e-01 +1.2947e+00
5 +1.562771809e+08 +1.562771809e+08 +1.562765598e+08 +1.562765598e+08 +1.0668e+00 +6.3938e-01 +1.5701e-01 +7.5002e-01 +7.2342e-01 -8.2558e-02 +4.2549e-01 +7.6869e-01 +1.4711e+00 +9.0665e-01 -4.8389e-01 +7.1872e-01 +1.3635e+00 +1.6373e-01 +1.0886e+00 +1.7910e-01 +8.5277e-01 +3.2747e-01 +7.3290e-01 +5.9714e-01
26 +7.686254608e+07 +7.686254608e+07 +7.686192497e+07 +7.686192497e+07 +6.3145e-01 +1.4557e+00 +1.9564e-01 +9.6768e-02 +1.8002e-01 -5.6325e-01 +3.3733e-01 +6.0206e-01 +9.6746e-01 +8.8221e-01 -2.6830e-01 +1.0485e+00 +1.4657e+00 +6.4316e-01 +1.1362e+00 +3.3584e-02 +8.1697e-02 +4.4577e-01 +1.3969e+00 +8.2212e-01
49 +6.292581852e+07 +6.292581852e+07 +6.292519741e+07 +6.292519741e+07 +1.6876e-01 +1.8707e+00 +5.8518e-02 -3.2257e-01 +1.8443e-01 -1.1859e+00 -5.1383e-01 +1.0381e+00 +6.5194e-01 +1.4951e+00 -6.0737e-01 +8.5402e-01 +1.7138e+00 +1.3210e+00 +7.0230e-01 -8.2150e-02 +9.4077e-02 +1.6011e-01 +9.0896e-01 +6.4894e-01
97 +3.870732792e+07 +3.870732792e+07 +3.870670681e+07 +3.870670681e+07 +3.0575e-01 +2.4036e+00 -9.9133e-02 -1.1257e+00 -2.9875e-02 -1.3065e+00 +5.6512e-01 -2.1397e-01 +6.1068e-01 +1.4355e+00 -6.2951e-01 +1.1817e+00 +1.8236e+00 +1.7093e+00 +1.0884e+00 -2.8461e-01 +7.1284e-01 +5.8881e-01 +1.8856e+00 -8.0963e-02
163 +2.389987686e+07 +2.389987686e+07 +2.389925575e+07 +2.389925575e+07 -1.2255e+00 +3.0072e+00 -7.8044e-01 -2.6207e+00 +2.6796e-01 -1.1207e+00 +2.4289e-01 +9.6908e-01 +4.0050e-02 +5.0640e-02 +6.3348e-01 +2.0491e+00 +2.6615e+00 +2.2568e+00 +6.3879e-01 -4.0787e-01 -8.3455e-01 +1.5588e+00 +1.2619e+00 +2.4535e-02
200 +1.443040127e+07 +1.443040127e+07 +1.442978016e+07 +1.442978016e+07 +2.4268e-01 +2.7247e+00 -1.1215e+00 -3.1126e+00 +6.5562e-01 -1.9584e+00 +7.8056e-01 +7.5788e-01 +1.0004e+00 -1.1995e-01 +1.0940e+00 +2.2018e+00 +2.9773e+00 +1.1973e+00 +1.2637e+00 -5.5102e-01 +1.2580e+00 +2.9260e+00 +1.1638e+00 -2.1995e-02
230 +8.790959072e+06 +8.790959072e+06 +8.790337962e+06 +8.790337962e+06 -6.8749e-01 +3.9261e+00 +5.9411e-01 -3.0151e+00 -7.9642e-01 -1.8424e+00 +1.7202e+00 +8.9719e-01 +1.0040e+00 -5.0929e-01 +2.1955e-01 +1.6477e+00 +2.1666e+00 +1.3474e+00 +2.8363e+00 -1.4401e+00 +1.3230e+00 +1.8081e+00 +1.1236e+00 -1.1100e+00
231 +6.264664222e+06 +6.264664222e+06 +6.264043112e+06 +6.264043112e+06 -1.0138e+00 +3.1578e+00 -9.1004e-01 -2.8232e+00 -1.1274e+00 -1.9712e+00 +1.5658e+00 -8.4697e-01 +1.4248e+00 +4.4279e-01 +1.1231e+00 +2.4342e+00 +2.5632e+00 +1.3785e+00 +2.2632e+00 -2.2165e+00 +1.7025e+00 +2.1851e+00 +1.4960e+00 +1.2559e-01
