% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.416249029e+04 +6.416249029e+04 +6.431164029e+04 +6.431164029e+04 +1.0162e+00 +5.4355e-01 +3.4216e-01 +1.4024e+00 +7.7903e-01 +4.0795e-01 +4.9656e-01 +4.5585e-01 +1.0457e+00 +7.2870e-01 +4.2413e-01 +6.2647e-01 +6.3651e-01 +2.4253e-01 -8.3005e-02 +5.7340e-01 +5.1932e-01 +6.8926e-01 +1.2033e+00 +4.4604e-01
2 +4.201353843e+04 +4.201353843e+04 +4.216268843e+04 +4.216268843e+04 +7.8405e-01 +8.3336e-01 +2.2275e-01 +1.0072e+00 +3.7290e-01 +8.8525e-02 +2.2903e-01 +7.3519e-01 +1.2855e+00 +1.2977e+00 -1.0148e-01 +9.9380e-01 +5.9293e-01 +1.5133e-01 +7.9823e-01 +6.0168e-01 +1.9086e-01 +1.0271e+00 +7.2453e-01 +1.2947e+00
13 +3.957143180e+04 +3.957143180e+04 +3.972058180e+04 +3.972058180e+04 +7.8649e-01 +1.0321e+00 +2.1189e-01 +8.6228e-01 +4.0225e-01 +3.0497e-01 -1.7533e-01 +4.2742e-01 +1.3347e+00 +1.2996e+00 -1.1073e-01 +4.9004e-01 +9.1442e-01 +4.3392e-01 +4.1065e-01 +4.3488e-01 +7.8295e-01 +7.3124e-01 +5.1090e-01 +1.3159e+00
61 +2.470839551e+04 +2.470839551e+04 +2.485754551e+04 +2.485754551e+04 +5.4534e-01 +1.3335e+00 +5.2602e-01 +1.6013e-01 -2.7192e-01 +3.4783e-01 +2.7492e-01 +6.2767e-01 +1.3770e+00 +1.3973e+00 -5.4576e-01 +8.4602e-01 +5.2043e-01 +5.8343e-01 +1.6809e-01 -4.8837e-01 +3.5414e-01 +9.9241e-01 +4.1920e-02 +5.7618e-01
75 +1.381455135e+04 +1.381455135e+04 +1.396370135e+04 +1.396370135e+04 +1.0765e-01 +9.8760e-01 +8.5420e-01 +9.1140e-01 -1.0085e+00 +1.0381e-01 +2.8388e-01 -2.7252e-02 +1.1353e+00 +1.2909e+00 -7.1887e-01 +1.1393e+00 +5.9548e-01 +5.9790e-01 +6.4153e-02 -2.1992e-01 -5.3657e-02 +7.6873e-01 +1.5589e-01 +4.4859e-01
107 +9.588022647e+03 +9.588022647e+03 +9.737172647e+03 +9.737172647e+03 +5.5378e-01 +6.5060e-01 +5.7546e-01 +8.0053e-01 -1.5380e+00 -3.3265e-01 -1.6514e-01 +2.2144e-02 +1.1737e+00 +7.7901e-01 -9.7022e-01 +6.3831e-01 +4.6205e-02 +5.6978e-01 +1.3048e-01 -4.3853e-01 -1.1252e-01 +1.4247e+00 +1.3687e-01 -2.9974e-01
158 +5.289213802e+03 +5.289213802e+03 +5.438363802e+03 +5.438363802e+03 +3.8341e-01 +9.0907e-01 +2.9899e-01 +1.6181e+00 -2.9011e+00 -4.3456e-01 -8.9285e-02 -7.7051e-01 +8.1308e-01 +1.0222e+00 -1.1287e+00 +3.1436e-01 +2.0550e-01 +7.0205e-01 -8.4552e-01 +1.0313e-01 +1.4667e-01 +8.0913e-01 -9.6722e-01 -4.4978e-01
185 +2.853237745e+03 +2.853237745e+03 +3.002387745e+03 +3.002387745e+03 +1.8034e-01 +2.6154e-01 -5.8384e-01 +1.4968e+00 -2.0536e+00 -7.0285e-01 -1.3441e-01 -5.4437e-01 +7.9114e-01 +1.6038e-01 -1.2729e+00 +1.0010e+00 +1.0689e+00 -5.7013e-01 -1.2886e+00 -9.7456e-02 -9.7748e-02 +9.4429e-01 -1.2531e+00 +2.2908e-02
224 +2.230795597e+03 +2.230795597e+03 +2.379945597e+03 +2.379945597e+03 -4.3506e-02 -1.5021e+00 -1.5275e-01 +2.4607e+00 -2.8176e+00 -1.5057e+00 -5.6892e-02 -7.4902e-01 +6.3837e-01 +1.9454e-01 -2.0474e+00 -3.8013e-01 +8.6726e-02 -5.2157e-01 -1.0472e+00 -2.9948e-01 -1.2957e-01 +1.1702e+00 -7.7175e-01 -4.0494e-01
272 +1.575509280e+03 +1.575509280e+03 +1.724659280e+03 +1.724659280e+03 +3.4002e-01 -1.1107e+00 -9.6920e-02 +1.4437e+00 -3.0602e+00 -2.6553e+00 -3.1773e-01 -1.4418e+00 +3.6203e-01 +1.8035e-01 -2.0628e+00 -4.5229e-01 +7.1013e-01 -3.8625e-01 -1.7257e-01 -4.5258e-01 -1.7369e-01 +5.4199e-01 -6.6438e-01 +8.7095e-01
