% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.396998970e+02 +3.396998970e+02 +3.304898970e+02 +3.304898970e+02 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00 -3.4239e+00 +4.7059e+00 +4.5717e+00 -1.4624e-01 +3.0028e+00 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
35 +2.451791228e+02 +2.451791228e+02 +2.359691228e+02 +2.359691228e+02 +2.3784e+00 -4.3660e+00 +3.6044e+00 +4.3441e+00 +4.8440e+00 +3.5894e+00 +2.8556e+00 +1.3377e-01 -3.2240e+00 -1.0141e+00 -3.6607e+00 -4.6911e+00 +4.3914e+00 -1.9869e+00 -2.0447e+00 -1.6706e+00 -3.2932e-01 +1.4820e+00 -4.7477e+00 +3.4221e+00
293 +1.337296275e+02 +1.337296275e+02 +1.245196275e+02 +1.245196275e+02 -5.9435e+00 -2.4020e+00 +2.3275e+00 +5.1828e+00 -4.0497e+00 +4.5562e+00 -4.5332e-02 +3.6488e+00 +3.2056e+00 -2.1470e+00 -4.3057e+00 -7.6202e-01 +3.7348e+00 +1.5850e+00 -2.4993e+00 -5.4959e+00 +4.9396e+00 +3.9153e+00 -2.8612e+00 +6.0455e+00
479 +9.951215007e+01 +9.951215007e+01 +9.030215007e+01 +9.030215007e+01 +3.9802e+00 -5.2296e+00 +4.9895e+00 +1.7694e+00 -4.0645e+00 +2.3268e+00 +3.8682e+00 +4.3731e+00 +2.5407e+00 -4.5335e+00 -1.4284e+00 -2.8205e+00 +4.2924e+00 +1.6792e+00 -3.5167e+00 -2.9916e+00 +5.1822e+00 +4.9485e+00 -4.6093e+00 +4.9485e+00
655 +5.822085495e+01 +5.822085495e+01 +4.901085495e+01 +4.901085495e+01 +4.1102e+00 +1.1166e+00 +4.6020e+00 +5.0168e+00 -5.5454e+00 +1.1038e+00 -9.1732e-01 +5.4694e+00 +4.0000e+00 -4.1978e+00 -4.2352e+00 -3.2543e+00 +5.1861e+00 +4.8896e+00 -4.5531e+00 -3.3336e+00 +5.5988e+00 +4.7954e+00 -4.5484e+00 +6.6316e+00
813 +3.635186934e+01 +3.635186934e+01 +2.714186934e+01 +2.714186934e+01 +3.7305e+00 +6.5189e-02 +5.3843e+00 +2.0174e+00 -4.3999e+00 +3.4578e+00 +4.8816e+00 +4.8946e+00 +6.3675e+00 -3.7570e+00 -4.2937e+00 -3.5315e+00 +4.8335e+00 +4.2735e+00 -4.8632e+00 -6.2034e+00 +5.5512e+00 +5.1148e+00 -4.6670e+00 +4.8634e+00
975 +2.478127093e+01 +2.478127093e+01 +1.557127093e+01 +1.557127093e+01 +3.6271e+00 +1.2870e+00 +5.7488e+00 +8.0485e+00 -4.3724e+00 +4.1335e+00 +5.9217e+00 +5.2245e+00 +4.0000e+00 -4.1978e+00 -4.2631e+00 -3.9055e+00 +4.6748e+00 +4.7666e+00 -4.5531e+00 -7.5191e+00 +5.1205e+00 +5.0379e+00 -5.7291e+00 +5.0170e+00
1192 +1.507447528e+01 +1.507447528e+01 +5.864475278e+00 +5.864475278e+00 +5.8377e+00 -7.5764e-01 +5.3757e+00 +9.7318e+00 -5.5211e+00 +5.2301e+00 +6.1668e+00 +3.7995e+00 +5.7169e+00 -4.2615e+00 -5.3697e+00 -4.6247e+00 +4.5469e+00 +4.9567e+00 -5.0902e+00 -7.5847e+00 +5.4076e+00 +5.7819e+00 -5.2232e+00 +5.3835e+00
1387 +9.960740857e+00 +9.960740857e+00 +7.507408566e-01 +7.507408566e-01 +5.0670e+00 +7.8599e-01 +4.8871e+00 +8.4362e+00 -5.0214e+00 +4.9774e+00 +6.2694e+00 +5.1905e+00 +5.0089e+00 -5.0800e+00 -4.9508e+00 -4.1892e+00 +4.7483e+00 +4.9597e+00 -4.9073e+00 -6.5243e+00 +5.4759e+00 +5.6220e+00 -5.0085e+00 +5.8251e+00
1606 +6.216760729e+00 +6.216760729e+00 -2.993239271e+00 -2.993239271e+00 +5.5011e+00 +1.8144e+00 +5.2293e+00 +8.5518e+00 -5.0537e+00 +4.8573e+00 +5.2980e+00 +6.0704e+00 +5.9763e+00 -5.4120e+00 -5.3753e+00 -4.8102e+00 +4.7360e+00 +5.0597e+00 -4.9578e+00 -7.2257e+00 +5.9713e+00 +5.4819e+00 -4.9686e+00 +6.3648e+00
1853 +3.433743601e+00 +3.433743601e+00 -5.776256399e+00 -5.776256399e+00 +6.4243e+00 +2.0682e+00 +6.2783e+00 +1.0452e+01 -5.5875e+00 +5.3924e+00 +5.6793e+00 +5.8661e+00 +6.0484e+00 -4.9639e+00 -6.2097e+00 -4.9955e+00 +5.0093e+00 +5.4112e+00 -5.3659e+00 -6.1480e+00 +5.6295e+00 +5.3895e+00 -5.0429e+00 +5.4926e+00
% function evaluation | noise-free fitness - Fopt (6.559900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
