% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.531905767e+05 +6.531905767e+05 +6.533144067e+05 +6.533144067e+05 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00 -3.4239e+00 +4.7059e+00 +4.5717e+00 -1.4624e-01 +3.0028e+00 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
3 +1.724102607e+05 +1.724102607e+05 +1.725340907e+05 +1.725340907e+05 -6.1256e-01 -1.1844e+00 +2.6552e+00 +2.9520e+00 -3.1313e+00 -1.0236e-01 -5.4414e-01 +1.4631e+00 +2.0936e+00 +2.5469e+00 -2.2397e+00 +1.7970e+00 +1.5510e+00 -3.3739e+00 -3.8100e+00 -1.6359e-02 +4.5974e+00 -1.5961e+00 +8.5268e-01 -2.7619e+00
10 +9.661109002e+04 +9.661109002e+04 +9.673492002e+04 +9.673492002e+04 +4.7009e-01 -2.0368e+00 +2.4469e+00 -3.1104e+00 +1.8678e+00 -3.1649e+00 -1.3152e+00 +1.2562e+00 +2.8023e+00 -4.1887e+00 +4.2939e+00 +2.7571e+00 -1.3208e-01 -6.4141e-01 -5.3216e-01 -1.9365e+00 +8.5087e-02 +1.0772e-01 +3.1763e+00 +2.9483e+00
177 +5.909722923e+04 +5.909722923e+04 +5.922105923e+04 +5.922105923e+04 -2.9623e-01 -2.3015e+00 +2.6981e+00 -3.6971e+00 +2.4415e+00 +3.7617e+00 -1.1361e+00 +2.0714e+00 +1.2645e-01 -2.5902e+00 -2.5649e+00 -1.3340e+00 +6.4521e-01 -2.0654e+00 -9.2563e-01 -1.6131e+00 +5.2213e-01 +2.5420e+00 -1.0312e-01 -2.2188e+00
246 +3.492767884e+04 +3.492767884e+04 +3.505150884e+04 +3.505150884e+04 -2.5102e+00 -1.3943e+00 +2.8953e+00 +3.1185e-01 -1.1762e+00 +1.0491e+00 -9.1245e-01 +1.0891e+00 +1.8921e+00 -2.0799e+00 -1.4953e+00 +4.4276e-01 +4.8875e-02 +2.2465e+00 -2.5360e+00 +2.8790e+00 +2.5687e-01 -1.6008e+00 +7.0477e-01 +1.7246e+00
501 +2.263403823e+04 +2.263403823e+04 +2.275786823e+04 +2.275786823e+04 -3.1144e-01 -2.6687e+00 +1.2024e+00 -1.0168e+00 +2.9381e+00 +1.3402e-01 +6.6646e-02 +2.1148e+00 +1.5416e+00 -1.3954e+00 +2.9573e+00 -5.3375e-01 +5.4745e-01 -9.9890e-01 +1.6961e+00 +7.5971e-01 -4.8026e-01 -1.5807e+00 -1.4078e+00 +1.7713e+00
566 +1.061208461e+04 +1.061208461e+04 +1.073591461e+04 +1.073591461e+04 -2.2844e-01 -1.3943e+00 +2.1597e+00 +3.1185e-01 -1.1762e+00 +1.0491e+00 -9.1245e-01 +1.0891e+00 +6.0819e-01 -2.0799e+00 -1.4953e+00 +4.4276e-01 +4.8875e-02 +2.2465e+00 +6.6160e-01 +2.8790e+00 +5.0923e-01 -1.6008e+00 -1.1782e+00 +1.7246e+00
643 +9.882946911e+03 +9.882946911e+03 +1.000677691e+04 +1.000677691e+04 -1.1986e-01 -1.2845e+00 -6.5555e-01 +9.7797e-01 -2.6253e+00 -1.0236e-01 -6.9806e-01 +7.3200e-01 +5.3010e-01 -2.5828e+00 +1.0249e+00 -4.8866e-01 -4.1749e-01 -6.7735e-01 -2.0833e+00 +1.4575e+00 -2.5589e+00 +1.1869e+00 -3.7775e-01 -1.1755e+00
783 +5.313369934e+03 +5.313369934e+03 +5.437199934e+03 +5.437199934e+03 +8.4975e-02 -7.0559e-01 +1.8010e+00 +3.7815e-01 -1.0159e-02 +1.2908e-01 -1.8043e+00 -2.3140e-01 +1.1297e+00 -2.7219e+00 +1.6810e+00 +1.8861e+00 +3.3614e-03 +5.4810e-02 -1.8676e+00 +1.2273e+00 -2.1362e+00 +3.8232e-01 -3.5800e-01 -9.8748e-01
842 +3.348028250e+03 +3.348028250e+03 +3.471858250e+03 +3.471858250e+03 -3.6602e-01 +4.3920e-01 +7.4957e-01 +4.6156e-01 -1.0782e+00 +4.8588e-01 -3.5742e-01 -1.5844e+00 -3.4405e-01 -1.9378e+00 +6.9347e-02 -2.9143e-01 -1.3590e+00 -9.5172e-01 -5.8767e-01 +1.7574e+00 -1.9356e+00 +8.0353e-01 -7.0094e-01 -1.2089e-01
1068 +2.327516880e+03 +2.327516880e+03 +2.451346880e+03 +2.451346880e+03 -6.9901e-01 +2.0886e-01 +1.4798e+00 -9.8364e-01 -1.2809e+00 +2.3986e-01 -5.5742e-01 -5.7340e-01 +4.9055e-01 -1.6795e+00 -3.6261e-01 -3.2793e-01 -1.2239e+00 -4.0745e-01 +1.1757e+00 +2.2856e+00 -1.1590e-01 -1.4069e-01 +5.6134e-01 -3.4727e-01
1152 +1.076254668e+03 +1.076254668e+03 +1.200084668e+03 +1.200084668e+03 -5.4208e-01 +3.5052e-01 +5.5426e-01 -3.0317e-01 -1.0172e+00 +1.8629e-01 -3.1655e-01 +1.0447e+00 +4.1633e-01 -1.0225e+00 +7.6896e-02 -4.1916e-01 -2.4389e-03 -2.0746e-01 +1.8224e-01 +1.3049e+00 -1.1546e+00 -4.2984e-01 -1.4735e+00 -9.5526e-01
1272 +8.485437371e+02 +8.485437371e+02 +9.723737371e+02 +9.723737371e+02 -5.4208e-01 +3.5052e-01 +5.5426e-01 -3.0317e-01 -1.0172e+00 +1.8629e-01 -1.0501e-01 +1.0466e+00 -1.8465e-01 -1.0225e+00 -2.1069e-01 -4.1916e-01 +3.3444e-01 -3.5624e-01 +2.7320e-01 +1.0317e+00 -1.1546e+00 +5.4742e-01 -4.0960e-01 -1.0388e+00
1421 +5.024760277e+02 +5.024760277e+02 +6.263060277e+02 +6.263060277e+02 -4.0925e-01 +2.7837e-01 +6.2691e-01 -6.4209e-01 -1.1005e+00 -1.4229e-01 -2.8770e-01 +2.4161e-01 +1.5626e-01 -1.3143e+00 +4.8563e-01 +1.0660e+00 -6.6598e-01 -3.2512e-01 +5.2373e-01 +1.5148e+00 -1.0019e+00 +1.2944e-01 +2.0554e-01 -3.1576e-01
1575 +2.434352145e+02 +2.434352145e+02 +3.672652145e+02 +3.672652145e+02 -4.1981e-01 +5.6683e-02 +6.1463e-01 -3.1707e-01 -4.7099e-01 -1.2493e-01 -2.4889e-01 +7.7879e-01 +5.4643e-01 -6.2828e-01 +3.4248e-01 +1.5327e-01 -4.9990e-01 -2.9633e-01 +1.7760e-01 +6.6657e-01 -1.2584e+00 -4.5601e-02 +2.9958e-01 +2.7701e-01
2015 +1.351034357e+02 +1.351034357e+02 +2.589334357e+02 +2.589334357e+02 -2.4193e-01 +1.6209e-01 +7.7390e-01 -3.1707e-01 -6.3117e-01 -1.7579e-01 +4.5249e-02 +5.2350e-01 +3.2831e-01 -9.5810e-01 +1.1530e-01 +3.0282e-01 -5.7272e-01 +7.3976e-02 +2.6269e-01 +6.6657e-01 -1.4126e+00 +1.1105e-02 +4.5336e-01 +3.2766e-02
2211 +9.800572945e+01 +9.800572945e+01 +2.218357294e+02 +2.218357294e+02 -4.8183e-01 +5.9789e-01 +4.3538e-01 -1.4590e-01 -6.2167e-01 +3.6200e-01 +7.0700e-01 +3.0672e-01 -2.4341e-02 -7.8076e-01 +5.6791e-02 +5.4707e-02 +1.6500e-01 -3.1592e-02 +3.6815e-01 +3.3022e-01 -7.4761e-01 +5.9253e-01 -4.5349e-01 +1.6712e-01
