% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.617010269e+02 +3.617010269e+02 +3.447610269e+02 +3.447610269e+02 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00 -3.4239e+00 +4.7059e+00 +4.5717e+00 -1.4624e-01 +3.0028e+00 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
2 +1.309875674e+02 +1.309875674e+02 +1.140475674e+02 +1.140475674e+02 +1.5574e+00 -4.6429e+00 +3.4913e+00 +4.3399e+00 +1.7874e+00 +2.5774e+00 +2.4313e+00 -1.0777e+00 +1.5548e+00 -3.2881e+00 +2.0605e+00 -4.6817e+00 -2.2308e+00 -4.5383e+00 -4.0287e+00 +3.2346e+00 +1.9483e+00 -1.8290e+00 +4.5022e+00 -4.6555e+00
13 +9.229941028e+01 +9.229941028e+01 +7.535941028e+01 +7.535941028e+01 -4.1448e+00 -2.3752e+00 +3.0101e+00 -4.7078e+00 +4.2885e+00 +2.3033e+00 -1.1391e-01 +7.8525e-01 -2.6272e+00 -4.1151e-01 +4.6309e+00 +4.6806e-01 +2.1136e-01 -2.6841e+00 -1.1102e-01 +1.2406e+00 +1.7914e+00 -1.0448e+00 -1.3256e+00 +4.8798e+00
67 +5.799946847e+01 +5.799946847e+01 +4.105946847e+01 +4.105946847e+01 +4.5800e-02 -1.2614e+00 -3.4184e-01 +1.6350e+00 +2.2790e+00 +1.7198e+00 +4.1795e+00 +3.9876e+00 -2.0797e+00 -2.7606e+00 +2.6727e+00 -3.0618e+00 -6.6305e-01 +1.3034e+00 +2.6114e+00 +8.4853e-01 -6.5436e-02 +7.1431e-01 +3.4126e+00 +1.2005e+00
141 +3.800084939e+01 +3.800084939e+01 +2.106084939e+01 +2.106084939e+01 +8.6006e-01 -2.0577e+00 +1.0998e+00 -1.7625e-02 +2.3021e+00 +1.4979e+00 +3.2961e+00 -2.6640e+00 -2.3119e+00 -2.3818e+00 +2.3086e+00 +1.5445e+00 -1.9021e+00 +1.2861e+00 +1.6268e+00 +2.6865e+00 +1.4133e+00 -6.0427e-01 -1.9437e+00 +2.4595e+00
372 +2.254943013e+01 +2.254943013e+01 +5.609430125e+00 +5.609430125e+00 +2.3317e+00 -7.6620e-01 -7.1454e-01 +4.9923e-01 -4.1646e-01 +4.9018e-01 +4.1336e+00 +1.5739e-01 -1.8847e+00 -1.5113e+00 +2.7268e+00 -1.8681e-01 -3.2965e+00 +5.5004e-02 +2.2175e+00 +1.1742e+00 +2.6036e+00 +1.9874e-01 +1.3485e+00 +2.7907e+00
1029 +1.444888024e+01 +1.444888024e+01 -2.491119764e+00 -2.491119764e+00 +2.7349e+00 -1.9613e+00 +2.3886e-01 +8.4706e-01 +9.9681e-01 +6.4326e-01 +3.6272e+00 +3.9872e-01 -1.6561e+00 -2.7347e+00 +1.2742e+00 -1.0828e+00 -3.3590e+00 -6.3619e-01 +1.8350e+00 +3.2843e+00 +2.1335e+00 -2.8490e-01 +7.4606e-01 +2.1742e+00
2998 +9.225084236e+00 +9.225084236e+00 -7.714915764e+00 -7.714915764e+00 +2.5268e+00 -8.6678e-01 +1.2293e+00 +1.5516e+00 +1.6474e+00 +1.3644e-03 +3.1078e+00 +1.5633e-02 -7.0814e-01 -3.2998e+00 +2.1277e+00 -1.0619e+00 -3.6357e+00 -6.8193e-01 +2.5951e+00 +4.2116e+00 +2.8843e+00 -8.8752e-02 +1.1216e+00 +2.9273e+00
4868 +6.280618247e+00 +6.280618247e+00 -1.065938175e+01 -1.065938175e+01 +2.4421e+00 -1.3099e+00 +5.1010e-01 +1.4909e+00 +1.5826e+00 +3.2012e-02 +2.9340e+00 +1.7422e-01 -9.4244e-01 -3.0096e+00 +2.0136e+00 -9.2926e-01 -3.5420e+00 -6.5637e-01 +2.0919e+00 +3.2479e+00 +2.8060e+00 -1.9349e-02 +9.4690e-01 +3.0112e+00
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.434997173e+01 +6.434997173e+01 +8.315997173e+01 +8.315997173e+01 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00 -3.4239e+00 +4.7059e+00 +4.5717e+00 -1.4624e-01 +3.0028e+00 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
3 +6.275344837e+01 +6.275344837e+01 +8.156344837e+01 +8.156344837e+01 -6.1256e-01 -1.1844e+00 +2.6552e+00 +2.9520e+00 -3.1313e+00 -1.0236e-01 -5.4414e-01 +1.4631e+00 +2.0936e+00 +2.5469e+00 -2.2397e+00 +1.7970e+00 +1.5510e+00 -3.3739e+00 -3.8100e+00 -1.6359e-02 +4.5974e+00 -1.5961e+00 +8.5268e-01 -2.7619e+00
41 +2.995186911e+01 +2.995186911e+01 +4.876186911e+01 +4.876186911e+01 +2.1472e+00 +3.0579e+00 -2.7301e+00 +3.1338e+00 +3.2359e-01 -3.7661e+00 -1.2150e+00 +1.4688e+00 +3.5751e+00 +3.6489e+00 -2.4239e+00 +3.7059e+00 +3.5717e+00 +8.5376e-01 +2.0028e+00 -2.5811e+00 -1.7824e+00 +3.1574e+00 +1.9221e+00 +3.5949e+00
201 +2.305461632e+01 +2.305461632e+01 +4.186461632e+01 +4.186461632e+01 +2.2554e+00 +2.8532e+00 -2.8383e+00 +2.8127e+00 +3.2864e-01 -3.7574e+00 -1.1688e+00 +1.6145e+00 +2.3383e+00 +3.7571e+00 -1.7813e+00 +2.8022e+00 +2.3564e+00 +1.0313e+00 +1.5555e+00 -1.5161e+00 -1.6742e+00 +2.8026e+00 +1.9782e+00 +3.7020e+00
1582 +1.281935982e+01 +1.281935982e+01 +3.162935982e+01 +3.162935982e+01 +1.8513e+00 +1.8426e+00 -2.5526e+00 +1.8329e+00 +1.5883e+00 -2.8854e+00 -2.0696e-02 +1.0797e+00 +2.7457e+00 +4.2483e+00 -2.6762e+00 +3.0578e+00 +3.6452e+00 +1.8277e-01 -8.2458e-01 -2.5631e+00 -2.0944e+00 +2.8261e+00 +3.7626e-01 +1.8291e+00
2131 +9.580983795e+00 +9.580983795e+00 +2.839098380e+01 +2.839098380e+01 +1.3282e+00 +2.6458e+00 -1.3485e+00 +1.1961e+00 +1.7974e+00 -2.7791e+00 +3.8012e-01 +3.8453e-01 +1.7153e+00 +3.6670e+00 -2.7046e+00 +3.5934e+00 +4.5686e+00 +1.2365e+00 -6.9636e-01 -3.0197e+00 -2.0337e+00 +4.1428e+00 +2.4361e-02 +1.0704e+00
2672 +6.298795633e+00 +6.298795633e+00 +2.510879563e+01 +2.510879563e+01 -6.4980e-01 +1.5970e+00 -6.7735e-02 +2.8168e-01 +1.9730e+00 -3.3452e+00 +9.8969e-01 +6.4340e-01 +3.8087e-01 +3.4122e+00 -3.9811e+00 +3.2572e+00 +4.0523e+00 +1.6379e+00 -1.3454e+00 -2.0435e+00 -1.4283e+00 +3.7837e+00 +5.2372e-01 +1.0557e+00
4166 +3.947903034e+00 +3.947903034e+00 +2.275790303e+01 +2.275790303e+01 -1.6231e-01 +1.6184e+00 -7.0859e-01 +6.9427e-01 +1.8056e+00 -3.6042e+00 +5.2232e-01 +3.2884e-01 +7.3912e-01 +3.6787e+00 -4.0182e+00 +3.4960e+00 +3.6519e+00 +8.2301e-01 -1.6293e+00 -2.2279e+00 -2.0697e+00 +3.4347e+00 +4.8895e-01 +4.6643e-01
% function evaluation | noise-free fitness - Fopt (2.731500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.959605450e+02 +1.959605450e+02 +4.691105450e+02 +4.691105450e+02 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00 -3.4239e+00 +4.7059e+00 +4.5717e+00 -1.4624e-01 +3.0028e+00 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
5 +1.093027885e+02 +1.093027885e+02 +3.824527885e+02 +3.824527885e+02 -1.4834e+00 +3.3083e+00 +8.5264e-01 +4.9724e-01 +4.1719e+00 -2.1416e+00 +2.5720e+00 +2.5373e+00 -1.1955e+00 +6.7822e-01 -4.2415e+00 -4.4605e+00 +3.0798e-01 +2.7917e+00 +4.3401e+00 -3.7009e+00 +6.8824e-01 -3.0609e-01 -4.8810e+00 -1.6288e+00
7 +8.856084588e+01 +8.856084588e+01 +3.617108459e+02 +3.617108459e+02 -3.9335e+00 +4.6190e+00 -4.9537e+00 +2.7491e+00 +3.1730e+00 +3.6869e+00 -4.1556e+00 -1.0022e+00 -2.4013e+00 +3.0007e+00 -6.8586e-01 +4.1065e+00 -3.1815e+00 -2.3620e+00 -3.5446e+00 -3.6393e+00 +3.6929e+00 +7.9705e-01 +4.9860e-01 -3.5505e+00
45 +5.038329346e+01 +5.038329346e+01 +3.235332935e+02 +3.235332935e+02 -2.4834e+00 +4.1575e+00 -1.4736e-01 +1.4111e-01 +3.1719e+00 -1.1416e+00 +1.5720e+00 +1.5373e+00 -9.4293e-01 +1.6782e+00 -3.2415e+00 -3.4605e+00 -5.6808e-01 +1.7917e+00 +3.3401e+00 -3.2649e+00 +1.6882e+00 +1.8305e-01 -3.8810e+00 -2.6288e+00
