% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.335384510e+05 +5.335384510e+05 +5.336876010e+05 +5.336876010e+05 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00 -3.4239e+00 +4.7059e+00 +4.5717e+00 -1.4624e-01 +3.0028e+00 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
3 +1.560045604e+05 +1.560045604e+05 +1.561537104e+05 +1.561537104e+05 -6.1256e-01 -1.1844e+00 +2.6552e+00 +2.9520e+00 -3.1313e+00 -1.0236e-01 -5.4414e-01 +1.4631e+00 +2.0936e+00 +2.5469e+00 -2.2397e+00 +1.7970e+00 +1.5510e+00 -3.3739e+00 -3.8100e+00 -1.6359e-02 +4.5974e+00 -1.5961e+00 +8.5268e-01 -2.7619e+00
83 +6.948275372e+04 +6.948275372e+04 +6.963190372e+04 +6.963190372e+04 -9.8339e-01 +8.3965e-02 +2.2213e+00 +3.9520e+00 -2.1313e+00 +4.7775e-01 -1.5441e+00 +4.6313e-01 +1.0936e+00 -1.3372e+00 -1.2397e+00 +8.4063e-01 +1.6031e+00 -2.0582e+00 -2.8100e+00 +5.0378e-01 +3.7042e+00 -5.9614e-01 -1.4732e-01 -1.7619e+00
128 +6.255852012e+04 +6.255852012e+04 +6.270767012e+04 +6.270767012e+04 +1.6583e+00 +2.8257e+00 +5.0952e-01 +2.1325e+00 -2.9819e+00 -2.2403e+00 -3.1109e+00 -3.5029e+00 -1.1609e+00 -1.9744e+00 -1.2131e+00 -2.5035e+00 +2.0369e+00 +2.4479e+00 -9.1359e-02 -1.0747e-01 +3.7719e-01 +2.6801e+00 -1.3075e+00 -1.8880e+00
171 +3.536575240e+04 +3.536575240e+04 +3.551490240e+04 +3.551490240e+04 +9.1497e-01 +7.6889e-01 +5.1264e-01 +1.6356e-01 -3.1823e+00 +1.3686e+00 +7.1060e-01 -3.0938e-01 +1.7820e-01 -8.4925e-01 -9.2258e-01 +6.8407e-01 +1.5220e+00 -9.2953e-01 +1.9155e+00 +1.8952e-01 -2.8471e+00 +3.9165e-01 -1.9542e+00 +1.5431e-01
201 +1.533889220e+04 +1.533889220e+04 +1.548804220e+04 +1.548804220e+04 +1.4724e-01 +1.0579e+00 -7.3013e-01 +3.3846e+00 -1.6764e+00 -1.6244e+00 -2.5406e+00 +1.1567e-01 +1.5751e+00 +1.6489e+00 -4.2387e-01 +1.7059e+00 +1.9285e+00 -1.4696e+00 +5.0479e-01 -1.0220e+00 +1.1707e-01 +1.4632e+00 -7.7927e-02 +1.8611e+00
281 +4.214100785e+03 +4.214100785e+03 +4.363250785e+03 +4.363250785e+03 -2.1995e-01 +5.7919e-02 +2.6987e-01 +2.3846e+00 -2.6764e+00 -8.1756e-01 -1.5406e+00 -8.8433e-01 +5.7507e-01 +6.4889e-01 -2.7724e-01 +7.0593e-01 +1.0665e+00 -1.8077e+00 -4.9521e-01 -9.7036e-01 -8.8293e-01 +4.6321e-01 -1.0779e+00 +8.6111e-01
370 +3.477448870e+03 +3.477448870e+03 +3.626598870e+03 +3.626598870e+03 +4.4784e-01 -1.4982e+00 -7.1472e-01 +5.3235e-01 -3.0486e+00 -1.8304e+00 -7.7732e-01 -9.9187e-01 -3.1238e-01 +4.3983e-01 -7.0614e-01 -4.5670e-01 +1.8942e+00 -1.1910e+00 -1.3720e+00 -1.1361e+00 -8.8916e-01 -1.5294e+00 -1.7195e+00 +6.3312e-03
468 +2.478055776e+03 +2.478055776e+03 +2.627205776e+03 +2.627205776e+03 -2.9914e-01 -3.3885e-01 -4.0212e-01 +1.8513e+00 -2.7134e+00 -8.6831e-01 -1.2463e+00 -3.9557e-01 +2.2647e-01 +2.5057e-01 -1.8844e+00 -2.3761e-01 +2.5435e+00 -2.7330e+00 -5.7695e-01 -4.0157e-01 -1.9121e+00 -3.5045e-02 -2.2155e+00 -8.2817e-01
539 +1.238272171e+03 +1.238272171e+03 +1.387422171e+03 +1.387422171e+03 +2.4920e-01 -4.8251e-01 -4.5622e-01 +1.5409e+00 -2.7029e+00 -5.1515e-01 -5.9780e-01 -1.0832e+00 +9.6243e-02 -6.5212e-01 -2.2559e+00 +1.3498e-01 +1.8340e+00 -9.0583e-01 -1.0174e+00 -2.7040e-01 -4.7069e-01 -1.1308e+00 -1.1115e+00 +4.8773e-01
613 +7.714660638e+02 +7.714660638e+02 +9.206160638e+02 +9.206160638e+02 -4.8855e-01 -1.2318e+00 -7.7996e-01 +1.2666e+00 -3.5480e+00 -1.4881e+00 -1.6218e+00 -1.4294e+00 +2.4000e-01 -1.0050e-01 -2.9146e+00 +3.9578e-01 +1.3319e+00 -1.0062e+00 -2.1259e+00 -9.1806e-01 -9.2105e-01 -1.9677e+00 -7.4396e-01 +7.3294e-01
969 +5.231651687e+02 +5.231651687e+02 +6.723151687e+02 +6.723151687e+02 -1.2955e+00 -1.6406e+00 -9.0264e-01 +1.1634e+00 -4.1691e+00 -2.2074e+00 -1.4138e+00 -1.8180e+00 -1.0986e+00 +1.1045e-01 -3.2073e+00 +6.0206e-02 +1.5330e+00 -1.5073e+00 -2.4314e+00 -1.5674e+00 -8.2036e-01 -1.7459e+00 -9.8381e-01 -1.7395e-01
1555 +3.883057432e+02 +3.883057432e+02 +5.374557432e+02 +5.374557432e+02 -1.0161e+00 -1.8986e+00 -3.4608e-01 +1.5760e+00 -3.4809e+00 -2.1989e+00 -1.6308e+00 -1.7004e+00 -1.1948e+00 -4.2942e-01 -3.0233e+00 -3.6606e-01 +1.5143e+00 -1.4045e+00 -1.3565e+00 -1.7288e+00 -7.9862e-01 -1.2307e+00 -8.3915e-01 +1.2277e-01
2575 +2.397226853e+02 +2.397226853e+02 +3.888726853e+02 +3.888726853e+02 -1.1813e+00 -1.2213e+00 -8.8063e-01 +8.4603e-01 -3.6324e+00 -2.0352e+00 -1.5173e+00 -1.9899e+00 -6.4169e-01 -2.1942e-01 -2.8591e+00 +8.0132e-02 +2.1886e+00 -1.1578e+00 -1.3282e+00 -1.6325e+00 -9.4118e-01 -1.5622e+00 -1.1074e+00 -1.1161e+00
3741 +1.540292236e+02 +1.540292236e+02 +3.031792236e+02 +3.031792236e+02 -9.9281e-01 -1.2601e+00 -8.6354e-01 +9.9567e-01 -3.5913e+00 -2.1051e+00 -1.6934e+00 -1.9324e+00 -8.6512e-01 -4.7239e-01 -2.6005e+00 -1.3646e-01 +1.7575e+00 -1.5142e+00 -1.7256e+00 -1.7297e+00 -7.1320e-01 -1.3106e+00 -1.4845e+00 -1.8607e+00
4122 +9.416138848e+01 +9.416138848e+01 +2.433113885e+02 +2.433113885e+02 -8.6613e-01 -1.2786e+00 -1.0463e+00 +4.5660e-01 -3.6141e+00 -2.0927e+00 -1.6907e+00 -1.9127e+00 -8.6274e-01 -5.5891e-01 -2.6026e+00 -2.6611e-02 +1.8222e+00 -1.7575e+00 -1.5814e+00 -1.7142e+00 -6.5196e-01 -9.1300e-01 -2.3825e+00 -3.7349e+00
4392 +5.691706396e+01 +5.691706396e+01 +2.060670640e+02 +2.060670640e+02 -1.1862e+00 -1.2580e+00 -1.1755e+00 +1.1380e+00 -3.6547e+00 -2.3325e+00 -1.6132e+00 -1.9519e+00 -9.0722e-01 -6.0015e-01 -2.4669e+00 -2.4146e-02 +1.8483e+00 -1.4817e+00 -1.6783e+00 -1.5199e+00 -6.5658e-01 -4.9220e-01 -2.6214e+00 -4.0229e+00
4632 +3.847283231e+01 +3.847283231e+01 +1.876228323e+02 +1.876228323e+02 -1.0933e+00 -1.2674e+00 -1.0413e+00 +8.1707e-01 -3.7220e+00 -2.2045e+00 -1.7200e+00 -2.0302e+00 -8.9486e-01 -6.6521e-01 -2.4778e+00 -1.7618e-02 +1.8909e+00 -1.4323e+00 -1.7063e+00 -1.5639e+00 -7.9505e-01 -4.6749e-01 -2.6664e+00 -4.0102e+00
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.190199271e+06 +1.190199271e+06 +1.189199271e+06 +1.189199271e+06 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00 -3.4239e+00 +4.7059e+00 +4.5717e+00 -1.4624e-01 +3.0028e+00 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
2 +9.582809622e+05 +9.582809622e+05 +9.572809622e+05 +9.572809622e+05 +1.5574e+00 -4.6429e+00 +3.4913e+00 +4.3399e+00 +1.7874e+00 +2.5774e+00 +2.4313e+00 -1.0777e+00 +1.5548e+00 -3.2881e+00 +2.0605e+00 -4.6817e+00 -2.2308e+00 -4.5383e+00 -4.0287e+00 +3.2346e+00 +1.9483e+00 -1.8290e+00 +4.5022e+00 -4.6555e+00
3 +2.362980836e+05 +2.362980836e+05 +2.352980836e+05 +2.352980836e+05 -6.1256e-01 -1.1844e+00 +2.6552e+00 +2.9520e+00 -3.1313e+00 -1.0236e-01 -5.4414e-01 +1.4631e+00 +2.0936e+00 +2.5469e+00 -2.2397e+00 +1.7970e+00 +1.5510e+00 -3.3739e+00 -3.8100e+00 -1.6359e-02 +4.5974e+00 -1.5961e+00 +8.5268e-01 -2.7619e+00
68 +1.397651100e+05 +1.397651100e+05 +1.387651100e+05 +1.387651100e+05 -2.5229e+00 -3.0890e+00 -1.3908e-01 -2.0811e+00 -3.5555e+00 +2.6856e+00 -3.5721e+00 +4.2402e-01 +8.7796e-01 -4.0772e-01 +1.3634e+00 -5.2925e-02 +8.3416e-01 +1.0405e+00 -1.5769e+00 -4.6144e+00 -6.9142e-01 +2.4309e-01 -1.2973e+00 -2.0295e+00
123 +9.544858159e+04 +9.544858159e+04 +9.444858159e+04 +9.444858159e+04 -2.6126e+00 +4.9918e-01 +1.4182e+00 +9.5200e-01 -1.2976e+00 +1.1521e+00 -2.5441e+00 +2.2191e+00 +9.3648e-02 +2.5469e+00 -2.0358e+00 +1.7970e+00 -8.6788e-02 -1.8848e+00 -2.3803e+00 -1.6359e-02 +2.5974e+00 -5.4750e-02 -1.1473e+00 -1.2675e+00
203 +5.367517051e+04 +5.367517051e+04 +5.267517051e+04 +5.267517051e+04 -1.6126e+00 +5.6967e-01 +4.1817e-01 -4.8001e-02 -9.4038e-01 +2.1521e+00 -1.5441e+00 +1.3046e+00 -8.4509e-01 +1.5469e+00 -1.0891e+00 +9.0443e-01 -1.0868e+00 -8.8485e-01 -1.3803e+00 -1.0164e+00 +1.5974e+00 -7.0968e-01 -1.7962e+00 -2.6753e-01
