% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.365972603e+07 +4.365972603e+07 +4.365967109e+07 +4.365967109e+07 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00 -3.4239e+00 +4.7059e+00 +4.5717e+00 -1.4624e-01 +3.0028e+00 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
2 +3.515916531e+07 +3.515916531e+07 +3.515911037e+07 +3.515911037e+07 +1.5574e+00 -4.6429e+00 +3.4913e+00 +4.3399e+00 +1.7874e+00 +2.5774e+00 +2.4313e+00 -1.0777e+00 +1.5548e+00 -3.2881e+00 +2.0605e+00 -4.6817e+00 -2.2308e+00 -4.5383e+00 -4.0287e+00 +3.2346e+00 +1.9483e+00 -1.8290e+00 +4.5022e+00 -4.6555e+00
3 +1.762089216e+07 +1.762089216e+07 +1.762083722e+07 +1.762083722e+07 -6.1256e-01 -1.1844e+00 +2.6552e+00 +2.9520e+00 -3.1313e+00 -1.0236e-01 -5.4414e-01 +1.4631e+00 +2.0936e+00 +2.5469e+00 -2.2397e+00 +1.7970e+00 +1.5510e+00 -3.3739e+00 -3.8100e+00 -1.6359e-02 +4.5974e+00 -1.5961e+00 +8.5268e-01 -2.7619e+00
4 +7.864035327e+06 +7.864035327e+06 +7.863980387e+06 +7.863980387e+06 +2.5127e+00 -2.4490e+00 +5.9571e-02 +1.9908e+00 +3.9090e+00 +4.5929e+00 +4.7216e-01 -3.6138e+00 -3.5071e+00 -2.4249e+00 +3.4072e+00 -2.4572e+00 +3.1428e+00 -2.5648e+00 +4.2926e+00 -1.5002e+00 -3.0340e+00 -2.4892e+00 +1.1604e+00 -2.6711e-01
13 +2.294550085e+06 +2.294550085e+06 +2.294495145e+06 +2.294495145e+06 -4.1448e+00 -2.3752e+00 +3.0101e+00 -4.7078e+00 +4.2885e+00 +2.3033e+00 -1.1391e-01 +7.8525e-01 -2.6272e+00 -4.1151e-01 +4.6309e+00 +4.6806e-01 +2.1136e-01 -2.6841e+00 -1.1102e-01 +1.2406e+00 +1.7914e+00 -1.0448e+00 -1.3256e+00 +4.8798e+00
126 +1.507041430e+06 +1.507041430e+06 +1.506986490e+06 +1.506986490e+06 -4.0902e+00 -5.7155e-02 +1.1122e+00 -2.7147e+00 -3.4351e-01 +4.0198e+00 +3.4697e-01 -3.4598e-01 -1.1079e+00 -5.1848e-01 +2.5054e+00 -1.1618e+00 +2.8977e-01 +1.1334e+00 -4.7622e-01 +1.3867e+00 +2.9427e+00 +1.9613e+00 -1.2182e+00 +2.4268e+00
154 +9.445208929e+05 +9.445208929e+05 +9.444659529e+05 +9.444659529e+05 -4.4187e+00 -2.9703e+00 +1.8948e+00 +7.3927e-01 +7.0294e-01 +8.4614e-02 -5.5242e-01 -7.8979e-01 -3.4892e+00 +5.9755e-02 +3.7927e+00 -1.1793e+00 -9.4291e-01 -1.7824e+00 -3.3540e-01 +1.9797e+00 +2.6992e+00 -1.4792e+00 +1.3120e+00 +4.6329e+00
273 +6.259794000e+05 +6.259794000e+05 +6.259244600e+05 +6.259244600e+05 -3.2436e+00 -2.7254e+00 +9.2065e-01 -9.4389e-01 +1.6927e+00 -3.2848e-01 -1.0352e+00 -1.8328e+00 -2.9631e+00 +7.6772e-01 +1.4426e+00 -9.6885e-01 -1.1140e+00 -1.0454e+00 -7.6226e-01 +2.3396e+00 +2.2998e+00 -1.0728e+00 -6.4266e-02 +3.8256e+00
421 +3.848497052e+05 +3.848497052e+05 +3.847947652e+05 +3.847947652e+05 -1.5551e+00 -3.0274e+00 -1.2190e+00 -1.5654e+00 +2.5523e+00 -2.2722e+00 -6.5165e-01 -2.4313e+00 -3.8244e+00 +2.8401e+00 +2.3604e+00 -1.1604e+00 -2.3133e+00 -2.3859e+00 -2.5764e+00 +1.5651e+00 +2.5655e+00 -1.8736e+00 +1.0220e+00 +5.0000e+00
536 +2.364850498e+05 +2.364850498e+05 +2.364301098e+05 +2.364301098e+05 -1.8477e+00 -2.7068e+00 -1.3812e+00 -1.3422e+00 +3.7051e+00 -2.6211e+00 -5.4499e-01 -3.5850e+00 -3.4953e+00 +2.3735e+00 +2.3741e+00 -5.8676e-01 -2.6227e+00 -1.9911e+00 -2.3520e+00 +2.0823e+00 +4.3035e+00 -2.6837e+00 -3.0623e-02 +5.0000e+00
629 +1.484289289e+05 +1.484289289e+05 +1.483739889e+05 +1.483739889e+05 -1.7745e+00 -2.6345e+00 -2.3598e+00 -1.7736e-01 +5.0000e+00 -3.5561e+00 -3.8974e-01 -4.5531e+00 -3.0170e+00 +2.3810e+00 +2.2379e+00 -5.6321e-01 -3.0390e+00 -1.6700e+00 -3.5097e+00 +2.2685e+00 +5.0000e+00 -2.6447e+00 -7.1567e-01 +5.0000e+00
682 +9.393414922e+04 +9.393414922e+04 +9.387920922e+04 +9.387920922e+04 -2.0524e+00 -1.9728e+00 -1.5701e+00 -1.1774e-01 +4.2419e+00 -3.5492e+00 -1.1906e+00 -4.2860e+00 -2.7690e+00 +3.1091e+00 +1.9058e+00 -1.7715e+00 -3.2020e+00 -2.9922e+00 -3.6956e+00 +1.2968e+00 +4.9360e+00 -2.3894e+00 +1.1299e+00 +5.0000e+00
1129 +6.271721983e+04 +6.271721983e+04 +6.266227983e+04 +6.266227983e+04 -2.5353e+00 -1.8092e+00 -1.4311e+00 +1.7308e-01 +3.9681e+00 -3.4680e+00 -5.8313e-01 -4.0282e+00 -2.9642e+00 +2.6492e+00 +1.7015e+00 -1.3569e+00 -3.3202e+00 -3.2498e+00 -3.4296e+00 +9.6858e-01 +5.0000e+00 -2.8654e+00 +9.2457e-01 +5.0000e+00
3873 +3.980702739e+04 +3.980702739e+04 +3.975208739e+04 +3.975208739e+04 -2.4621e+00 -1.2530e+00 -1.5521e+00 +2.0425e-01 +3.4311e+00 -4.1064e+00 -9.8492e-01 -3.6490e+00 -3.0496e+00 +3.2227e+00 +1.8102e+00 -2.0615e+00 -3.4115e+00 -5.0000e+00 -3.3845e+00 +7.4711e-01 +5.0000e+00 -3.0218e+00 +1.3474e+00 +5.0000e+00
% function evaluation | noise-free fitness - Fopt (5.913000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.315125516e+07 +3.315125516e+07 +3.315131429e+07 +3.315131429e+07 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00 -3.4239e+00 +4.7059e+00 +4.5717e+00 -1.4624e-01 +3.0028e+00 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
2 +1.427714921e+07 +1.427714921e+07 +1.427720834e+07 +1.427720834e+07 +1.5574e+00 -4.6429e+00 +3.4913e+00 +4.3399e+00 +1.7874e+00 +2.5774e+00 +2.4313e+00 -1.0777e+00 +1.5548e+00 -3.2881e+00 +2.0605e+00 -4.6817e+00 -2.2308e+00 -4.5383e+00 -4.0287e+00 +3.2346e+00 +1.9483e+00 -1.8290e+00 +4.5022e+00 -4.6555e+00
9 +7.470551881e+06 +7.470551881e+06 +7.470611011e+06 +7.470611011e+06 +2.8025e+00 -1.1026e+00 -2.5831e+00 -9.6088e-01 -4.0355e+00 -3.6803e+00 +4.4205e+00 +4.5613e+00 +7.5209e-01 -4.4022e+00 -2.6522e+00 -1.4684e+00 +3.2119e+00 -4.8460e+00 -4.5698e+00 -3.3101e+00 +1.4912e+00 +2.3172e+00 +1.4775e+00 -4.9076e-01
10 +4.839027534e+06 +4.839027534e+06 +4.839086664e+06 +4.839086664e+06 +4.7009e-01 -2.0368e+00 +2.4469e+00 -3.1104e+00 +1.8678e+00 -3.1649e+00 -1.3152e+00 +1.2562e+00 +2.8023e+00 -4.1887e+00 +4.2939e+00 +2.7571e+00 -1.3208e-01 -6.4141e-01 -5.3216e-01 -1.9365e+00 +8.5087e-02 +1.0772e-01 +3.1763e+00 +2.9483e+00
