% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.432854601e+03 +3.432854601e+03 +3.462824601e+03 +3.462824601e+03 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00 -3.4239e+00 +4.7059e+00 +4.5717e+00 -1.4624e-01 +3.0028e+00 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
8 +2.429394881e+03 +2.429394881e+03 +2.459364881e+03 +2.459364881e+03 +3.5303e+00 +1.2206e+00 -1.4905e+00 +1.3250e-01 -9.8192e-01 -4.2403e+00 -2.6008e+00 -3.7668e+00 -3.1609e+00 -2.6005e+00 -8.2733e-01 -4.5035e+00 +4.0272e+00 +4.4479e+00 -9.1359e-02 -1.0747e-01 -1.6228e+00 +4.0005e+00 -1.3075e+00 -3.8880e+00
141 +1.577080664e+03 +1.577080664e+03 +1.607050664e+03 +1.607050664e+03 -3.6128e+00 -1.0577e+00 -1.6078e+00 -2.0971e+00 +3.8297e+00 +4.9989e+00 -1.3068e+00 -3.2180e+00 -1.3119e+00 +3.3812e-01 +2.6055e+00 -1.4555e+00 +2.0762e+00 +1.2667e+00 -8.1641e-01 +1.6865e+00 -2.6867e+00 -1.4160e-01 -9.4371e-01 -1.7674e+00
286 +9.167361272e+02 +9.167361272e+02 +9.467061272e+02 +9.467061272e+02 -3.0091e+00 -6.0592e-02 -3.3471e+00 -5.8312e-01 +3.5574e+00 +2.1639e+00 -3.1203e+00 -3.5663e+00 -9.8000e-03 -2.0113e-01 +4.7476e-01 -1.8922e+00 +4.2898e+00 +2.1829e+00 +7.9915e-01 -5.7752e-02 -3.7149e+00 -1.3213e+00 -4.9202e-01 -2.5836e+00
533 +6.040545820e+02 +6.040545820e+02 +6.340245820e+02 +6.340245820e+02 -7.9367e-01 -4.5250e-01 -4.2383e+00 -5.6559e-02 +2.8455e+00 +2.0670e+00 -4.6612e+00 -1.6122e+00 +1.1822e+00 +1.3294e-01 +1.7612e+00 -1.2741e+00 +5.0000e+00 +2.3565e+00 -3.4068e-01 +2.1473e+00 -2.1845e+00 -1.1769e+00 +7.0926e-01 -2.6839e+00
1110 +3.884750096e+02 +3.884750096e+02 +4.184450096e+02 +4.184450096e+02 -2.0128e-01 -1.3256e+00 -3.3087e+00 -8.5364e-01 +3.3807e+00 +3.3290e+00 -4.0155e+00 -2.1005e+00 +1.2054e+00 -9.6976e-02 +1.7448e+00 -1.6163e+00 +5.0000e+00 +2.1940e+00 -7.9975e-01 +2.1159e+00 -2.4328e+00 -1.9537e+00 +8.1575e-01 -2.2892e+00
2246 +2.501413774e+02 +2.501413774e+02 +2.801113774e+02 +2.801113774e+02 -9.9520e-03 -1.9295e+00 -3.6294e+00 -1.4216e+00 +3.3187e+00 +3.5655e+00 -3.9065e+00 -2.5261e+00 +2.0210e+00 -1.0278e+00 +1.7064e+00 -1.8883e+00 +5.0000e+00 +2.3960e+00 -1.1791e+00 +2.5972e+00 -2.3683e+00 -2.2575e+00 +1.0888e+00 -2.3721e+00
% function evaluation | noise-free fitness - Fopt (-5.171000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.930477516e+03 +3.930477516e+03 +3.878767516e+03 +3.878767516e+03 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00 -3.4239e+00 +4.7059e+00 +4.5717e+00 -1.4624e-01 +3.0028e+00 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
24 +2.465937491e+03 +2.465937491e+03 +2.414227491e+03 +2.414227491e+03 -3.2413e+00 +2.2176e+00 -2.6514e-01 -3.4728e+00 -1.5888e+00 +1.0739e+00 -3.0825e+00 +2.3843e+00 -2.5715e+00 +4.1742e+00 -2.3094e+00 +2.6550e+00 -3.1134e+00 -2.1250e+00 -4.0889e+00 +7.6209e-01 +1.8336e+00 +4.6593e-01 -7.4271e-01 +1.4444e+00
207 +1.525759311e+03 +1.525759311e+03 +1.474049311e+03 +1.474049311e+03 +3.6100e-01 -7.8315e-02 +4.6342e-02 -2.2509e+00 +1.4014e-01 +2.4895e+00 -2.4515e+00 +3.0983e+00 -2.3206e+00 +1.8972e+00 +2.2185e+00 +3.3469e-01 +3.0975e-01 -1.1625e+00 -4.8079e-01 +9.3636e-01 -8.0867e-01 -8.9572e-01 +1.0717e+00 +1.4495e+00
524 +9.678297137e+02 +9.678297137e+02 +9.161197137e+02 +9.161197137e+02 +3.1560e+00 -2.3307e-01 -2.5453e+00 -2.2799e+00 +6.0233e-01 +2.5389e+00 -3.6349e+00 +4.8023e+00 -3.1300e+00 +1.1218e+00 +3.3111e+00 +1.4696e+00 +4.1602e-01 +1.3624e+00 +2.7822e-01 +1.4493e+00 -1.1409e+00 +1.1795e+00 +5.4077e-01 +2.1396e+00
1125 +6.259610085e+02 +6.259610085e+02 +5.742510085e+02 +5.742510085e+02 +3.5526e+00 +8.3885e-01 -3.4601e+00 -1.8588e+00 +1.5411e-01 +2.4323e+00 -2.7833e+00 +5.0000e+00 -3.4811e+00 +7.7167e-01 +3.5500e+00 +2.7805e+00 +1.7462e+00 +1.1484e+00 -1.2437e+00 +3.3554e+00 -2.3994e+00 +2.4053e+00 +1.3950e-01 +4.5917e+00
% function evaluation | noise-free fitness - Fopt (-2.799500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.111080072e+03 +4.111080072e+03 +3.831130072e+03 +3.831130072e+03 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00 -3.4239e+00 +4.7059e+00 +4.5717e+00 -1.4624e-01 +3.0028e+00 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
2 +3.032213614e+03 +3.032213614e+03 +2.752263614e+03 +2.752263614e+03 +1.5574e+00 -4.6429e+00 +3.4913e+00 +4.3399e+00 +1.7874e+00 +2.5774e+00 +2.4313e+00 -1.0777e+00 +1.5548e+00 -3.2881e+00 +2.0605e+00 -4.6817e+00 -2.2308e+00 -4.5383e+00 -4.0287e+00 +3.2346e+00 +1.9483e+00 -1.8290e+00 +4.5022e+00 -4.6555e+00
19 +2.491164898e+03 +2.491164898e+03 +2.211214898e+03 +2.211214898e+03 -4.6740e+00 +6.1200e-01 +3.8187e+00 +1.6918e+00 -3.0957e+00 -1.3108e+00 -3.9274e-01 +4.8164e+00 -3.4360e+00 +3.5552e+00 +1.4476e+00 -1.2373e+00 -3.0908e+00 -7.1747e-01 -1.7978e-01 -3.7939e+00 +8.9507e-01 -2.7381e+00 -1.1538e+00 +8.2986e-01
